loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.074,0.15395799279212952,4.7905739635663984e-05,6.571428571428571,460,,,,,,,,,,,
0.0013,0.18152059614658356,4.773608952148706e-05,6.714285714285714,470,,,,,,,,,,,
0.001,0.06356442719697952,4.756015763909014e-05,6.857142857142857,480,,,,,,,,,,,
0.0013,0.01848507858812809,4.737799259680172e-05,7.0,490,,,,,,,,,,,
,,,7.0,490,0.46820107102394104,0.9,0.900181325698567,3.0531,22.927,11.464,,,,,
0.0131,0.020749332383275032,4.718964472511386e-05,7.142857142857143,500,,,,,,,,,,,
0.0007,0.010825364850461483,4.699516606277638e-05,7.285714285714286,510,,,,,,,,,,,
0.0008,0.010361691005527973,4.679461034241906e-05,7.428571428571429,520,,,,,,,,,,,
0.0007,0.024716438725590706,4.658803297570577e-05,7.571428571428571,530,,,,,,,,,,,
0.0023,0.013905428349971771,4.6375491038024785e-05,7.714285714285714,540,,,,,,,,,,,
0.0016,0.018608035519719124,4.615704325271937e-05,7.857142857142857,550,,,,,,,,,,,
0.0008,0.014427429996430874,4.593274997486309e-05,8.0,560,,,,,,,,,,,
,,,8.0,560,0.6376082897186279,0.8428571428571429,0.8439323211292065,3.1244,22.404,11.202,,,,,
0.0006,0.013607298023998737,4.570267317458423e-05,8.142857142857142,570,,,,,,,,,,,
0.0007,0.02773226425051689,4.546687641994409e-05,8.285714285714286,580,,,,,,,,,,,
